aerialWonPerGame,ap,assistTotal,goal,manOfTheMatch,minsPlayed,passSuccess,player_name,player_url,team_url,rank,rating,redCard,rgn,shotsPerGame,yellowCard,age,pos_AM(LR),pos_AM(L),pos_M(LR),pos_Midfielder,pos_D(CL),pos_AM(CR),pos_M(R),pos_FW,pos_Forward,pos_D(CR),pos_Goalkeeper,pos_AM(CLR),pos_Defender,pos_M(L),pos_M(C),pos_M(CLR),pos_M(CR),pos_D(L),pos_D(LR),pos_GK,pos_AM(C),pos_D(C),pos_AM(R),pos_DMC,pos_D(R),pos_AM(CL),pos_D(CLR),pos_M(CL),team
0.3,21,7.0,3.0,0.0,1826.0,89.2,Isco,https://www.whoscored.com/Players/82989,https://www.whoscored.com/Teams/52,62,7.09,1.0,es,1.3,2.0,24,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Real Madrid
0.6,32,0.0,0.0,3.0,2880.0,46.7,Alphonse Areola,https://www.whoscored.com/Players/92516,https://www.whoscored.com/Teams/839,63,7.09,0.0,fr,0.0,1.0,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Villarreal
1.0,12,0.0,1.0,0.0,1010.0,83.0,Mateo Musacchio,https://www.whoscored.com/Players/61014,https://www.whoscored.com/Teams/839,64,7.08,0.0,ar,0.2,1.0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Villarreal
1.5,23,1.0,0.0,3.0,1973.0,75.9,Miguel Lopes,https://www.whoscored.com/Players/43977,https://www.whoscored.com/Teams/925,65,7.08,1.0,pt,0.4,8.0,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Granada
3.0,23,1.0,3.0,4.0,2165.0,73.1,Germán Pezzella,https://www.whoscored.com/Players/121456,https://www.whoscored.com/Teams/54,66,7.07,0.0,ar,0.7,9.0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Real Betis
1.3,25,0.0,0.0,0.0,2247.0,82.2,Dani Castellano,https://www.whoscored.com/Players/41033,https://www.whoscored.com/Teams/838,67,7.07,0.0,,0.3,5.0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Las Palmas
0.5,34,1.0,1.0,1.0,3030.0,77.1,Juanfran,https://www.whoscored.com/Players/10332,https://www.whoscored.com/Teams/63,68,7.06,0.0,es,0.2,6.0,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atletico Madrid
1.8,14,0.0,13.0,3.0,1174.0,66.2,Imanol Agirretxe,https://www.whoscored.com/Players/14203,https://www.whoscored.com/Teams/68,69,7.06,0.0,es,2.9,0.0,29,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Real Sociedad
2.2,32,0.0,0.0,0.0,2807.0,77.6,Bruno,https://www.whoscored.com/Players/294192,https://www.whoscored.com/Teams/54,70,7.06,0.0,,0.5,9.0,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Real Betis
2.5,31,0.0,0.0,0.0,2675.0,87.4,Cabral,https://www.whoscored.com/Players/15544,https://www.whoscored.com/Teams/62,71,7.06,2.0,ar,0.2,9.0,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Celta Vigo
0.0,6,0.0,0.0,1.0,540.0,43.5,Alberto García,https://www.whoscored.com/Players/31685,https://www.whoscored.com/Teams/830,72,7.05,0.0,es,0.0,0.0,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Sporting Gijon
